Log;srcID;lesID
03-17 16:15:29.173  2626  2643 I PhoneInterfaceManager: shouldBlockLocation  ret:false;1;10
03-17 16:15:29.392  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:29.392  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:29.392  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
03-17 16:15:29.694  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:29.694  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:29.694  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
03-17 16:15:29.995  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:29.995  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:29.995  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
"03-17 16:15:30.026  1702  3694 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output";1;10
03-17 16:15:30.297  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:30.297  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:30.297  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
03-17 16:15:30.599  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:30.599  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:30.599  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
03-17 16:15:30.902  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:30.903  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:30.903  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
03-17 16:15:31.202  1702  1820 I DisplayPowerController: HBM brightnessIn =38;1;10
03-17 16:15:31.202  1702  1820 I DisplayPowerController: HBM brightnessOut =38;1;10
03-17 16:15:31.202  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200;1;10
"03-17 16:15:32.289  1702  3693 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output";1;10
03-17 16:15:33.396  1702  2558 I NotificationManager: cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =121;1;10
03-17 16:15:33.396  1702  1702 I NotificationManager: cancelNotification,index:-1;1;10
03-17 16:15:33.398  1702  3137 I NotificationManager: cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =119;1;10
03-17 16:15:33.398  1702  1702 I NotificationManager: cancelNotification,index:-1;1;10
03-17 16:15:33.419  1702  8290 I NotificationManager: enqueueNotificationInternal: pkg=com.tencent.mobileqq id=121 notification=Notification(pri=1 contentView=null vibrate=[100] sound=null tick defaults=0x0 flags=0x11 color=0x00000000 vis=PRIVATE);1;10
03-17 16:15:33.424  1702  1702 I NotificationManager: enqueueNotificationInternal: n.getKey = 0|com.tencent.mobileqq|121|null|10111;1;10
03-17 16:15:33.426 28601 29239 V AudioManager: getRingerMode...;1;10
03-17 16:15:33.427  1702  1702 I NotificationManager: updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?false;1;10
03-17 16:15:33.427  1702  1702 I NotificationManager: updateLightsLocked,turn off notificationLight;1;10
03-17 16:15:33.438  2227  2227 I PhoneStatusBar: addNotification key=0|com.tencent.mobileqq|121|null|10111;1;10
03-17 16:15:33.524  2227  2227 I PanelView: mHeadsUpExistenceChangedRunnable;1;10
03-17 16:15:33.527  2227  2227 D PhoneStatusBar: disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >;1;10
03-17 16:15:33.527  2227  2227 I PhoneStatusBar: suspendAutohide;1;10
03-17 16:15:33.529  2227  2227 I PhoneStatusBar: updateNotificationShade: total=0, active=0;1;10
03-17 16:15:33.529  2227  2227 I PhoneStatusBar: removeNotificationChildren;1;10
03-17 16:15:33.530  2227  2227 I PhoneStatusBar: updateNotificationShade: total=1, active=1;1;10
03-17 16:15:33.530  2227  2227 I PhoneStatusBar: removeNotificationChildren;1;10
