Log;srcID;lesID
Jul  5 10:56:49 calvisitor-10-105-160-179 Safari[9852]: KeychainGetICDPStatus: status: off;1;12
Jul  5 10:57:01 calvisitor-10-105-160-179 QQ[10018]: 2017/07/05 10:57:01.130 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 1742124257.;1;12
Jul  5 10:57:41 calvisitor-10-105-160-179 kernel[0]: IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0;1;12
Jul  5 10:58:22 calvisitor-10-105-160-179 com.apple.xpc.launchd[1] (com.apple.xpc.launchd.domain.pid.WebContent.35873): Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SocialHelper.xpc/Contents/MacOS/com.apple.Safari.SocialHelper error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc;1;12
Jul  5 10:58:44 calvisitor-10-105-160-179 imagent[355]: <IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification};1;12
Jul  5 10:58:44 calvisitor-10-105-160-179 kernel[0]: Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0;1;12
Jul  5 11:01:10 authorMacBook-Pro corecaptured[35877]: CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7;1;12
Jul  5 11:01:55 calvisitor-10-105-160-179 corecaptured[35877]: Received Capture Event;1;12
Jul  5 11:01:55 calvisitor-10-105-160-179 corecaptured[35877]: CCFile::captureLogRun Skipping current file Dir file [2017-07-05_11,01,55.983179]-AirPortBrcm4360_Logs-006.txt, Current File [2017-07-05_11,01,55.983179]-AirPortBrcm4360_Logs-006.txt;1;12
Jul  5 11:39:37 calvisitor-10-105-160-179 symptomsd[215]: -[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.;1;12
Jul  5 11:39:38 authorMacBook-Pro corecaptured[35877]: CCProfileMonitor::freeResources done;1;12
Jul  5 11:39:39 authorMacBook-Pro corecaptured[35889]: CCFile::copyFile fileName is [2017-07-05_11,39,39.743225]-CCIOReporter-001.xml, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/OneStats//[2017-07-05_11,39,39.743225]-CCIOReporter-001.xml, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-05_11,39,38.739976]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_11,39,39.743225]-CCIOReporter-001.xml;1;12
Jul  5 11:40:26 calvisitor-10-105-160-226 kernel[0]: AppleCamIn::systemWakeCall - messageType = 0xE0000340;1;12
Jul  5 11:42:05 calvisitor-10-105-160-226 Mail[11203]: tcp_connection_destination_perform_socket_connect 44073 connectx to 123.125.50.30:143@0 failed: [50] Network is down;1;12
Jul  5 11:42:53 calvisitor-10-105-160-226 identityservicesd[272]: <IMMacNotificationCenterManager: 0x7ff1b2d17980>:    NC Disabled: NO;1;12
Jul  5 11:42:53 calvisitor-10-105-160-226 identityservicesd[272]: <IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO;1;12
Jul  5 11:47:49 calvisitor-10-105-160-226 quicklookd[35915]: Error returned from iconservicesagent: (null);1;12
Jul  5 12:00:35 calvisitor-10-105-160-226 WindowServer[184]: CGXDisplayDidWakeNotification [723587602857832]: posting kCGSDisplayDidWake;1;12
Jul  5 12:00:39 calvisitor-10-105-160-226 identityservicesd[272]: <IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: NO;1;12
Jul  5 12:00:50 authorMacBook-Pro networkd[195]: __42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc22930 125.39.240.34:14000;1;12
Jul  5 12:00:58 calvisitor-10-105-160-226 com.apple.AddressBook.InternetAccountsBridge[35944]: dnssd_clientstub ConnectToServer: connect()-> No of tries: 3;1;12
Jul  5 12:01:10 calvisitor-10-105-160-226 QQ[10018]: button report: 0x8002bdf;1;12
Jul  5 12:02:02 calvisitor-10-105-160-226 WindowServer[184]: send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.;1;12
Jul  5 12:05:11 calvisitor-10-105-160-226 WindowServer[184]: send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.;1;12
Jul  5 12:35:58 calvisitor-10-105-160-226 kernel[0]: en0: BSSID changed to 88:75:56:a0:95:ed;1;12
Jul  5 12:50:34 calvisitor-10-105-160-226 kernel[0]: ARPT: 724509.898718: wl0: MDNS: IPV4 Addr: 10.105.160.226;1;12
Jul  5 13:16:51 calvisitor-10-105-160-226 kernel[0]: USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3;1;12
Jul  5 13:43:58 calvisitor-10-105-160-226 kernel[0]: en0: BSSID changed to 88:75:56:a0:95:ed;1;12
Jul  5 13:44:18 calvisitor-10-105-160-226 com.apple.AddressBook.InternetAccountsBridge[646]: Daemon connection invalidated!;1;12
Jul  5 14:03:40 calvisitor-10-105-160-226 kernel[0]: AppleCamIn::systemWakeCall - messageType = 0xE0000340;1;12
Jul  5 14:03:45 authorMacBook-Pro corecaptured[36034]: CCFile::captureLog Received Capture notice id: 1499288625.645942, reason = AuthFail:sts:5_rsn:0;1;12
Jul  5 14:04:12 authorMacBook-Pro corecaptured[36034]: CCFile::captureLog Received Capture notice id: 1499288652.126295, reason = AuthFail:sts:5_rsn:0;1;12
Jul  5 14:04:16 authorMacBook-Pro corecaptured[36034]: CCFile::captureLogRun() Exiting CCFile::captureLogRun;1;12
Jul  5 14:04:19 authorMacBook-Pro corecaptured[36034]: CCFile::copyFile fileName is [2017-07-05_14,04,19.163834]-AirPortBrcm4360_Logs-025.txt, source path:/var/log/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/DriverLogs//[2017-07-05_14,04,19.163834]-AirPortBrcm4360_Logs-025.txt, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/[2017-07-05_14,04,19.222771]=AuthFail:sts:5_rsn:0/DriverLogs//[2017-07-05_14,04,19.163834]-AirPortBrcm4360_Logs-025.txt;1;12
Jul  5 14:04:19 authorMacBook-Pro corecaptured[36034]: CCFile::captureLog;1;12
Jul  5 14:04:19 authorMacBook-Pro kernel[0]: ARPT: 724786.252727: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0;1;12
Jul  5 14:04:19 authorMacBook-Pro corecaptured[36034]: CCFile::captureLog Received Capture notice id: 1499288659.752738, reason = AuthFail:sts:5_rsn:0;1;12
Jul  5 14:04:25 authorMacBook-Pro corecaptured[36034]: CCFile::captureLogRun Skipping current file Dir file [2017-07-05_14,04,25.118445]-AirPortBrcm4360_Logs-040.txt, Current File [2017-07-05_14,04,25.118445]-AirPortBrcm4360_Logs-040.txt;1;12
Jul  5 14:04:25 authorMacBook-Pro corecaptured[36034]: CCFile::copyFile fileName is [2017-07-05_14,04,25.705173]-CCIOReporter-044.xml, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/OneStats//[2017-07-05_14,04,25.705173]-CCIOReporter-044.xml, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-05_14,04,25.777317]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_14,04,25.705173]-CCIOReporter-044.xml;1;12
