log;lesID
[2021-11-16 20:33:43.411] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value SetupIniBackup;14
[2021-11-16 20:33:43.413] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value EmLastAvs;14
[2021-11-16 20:33:43.413] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value EmLastChromeBR;14
[2021-11-16 20:33:43.952] [info   ] [aavm       ] [ 3840: 5968] - ReloadMainEngineHandle;14
[2021-11-16 20:33:43.952] [info   ] [aavm       ] [ 3840: 5968] - avldrCreateHandle OK;14
[2021-11-16 20:33:44.181] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule OK [21111610 ==> 21111614];14
[2021-11-16 20:33:44.181] [info   ] [aavm       ] [ 3840: 5968] - avldrDuplicateHandle [00000277ABFD98D0 (1f7/0), 0];14
[2021-11-16 20:33:44.182] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0];14
[2021-11-16 20:33:44.332] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614);14
[2021-11-16 20:33:44.332] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0];14
[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614);14
[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avldrDuplicateHandle [00000277ABFD87C0 (1f7/0), 0];14
[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0];14
[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614);14
[2021-11-16 20:33:44.477] [info   ] [aavm       ] [ 3840: 5968] - avldrDuplicateHandle [00000277BD09CD40 (1f7/0), 0];14
[2021-11-16 20:33:44.477] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0];14
[2021-11-16 20:33:44.477] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614);14
[2021-11-16 20:33:44.786] [info   ] [aavm       ] [ 3840: 7336] - avldrDuplicateHandle [00000277C0E2BDE0 (1f7/0), 0];14
[2021-11-16 20:33:44.786] [info   ] [aavm       ] [ 3840: 7336] - avldrLoadModule [0];14
[2021-11-16 20:33:44.787] [info   ] [aavm       ] [ 3840: 7336] - avworkInitialize [0] (VPS: 21111614);14
[2021-11-16 20:33:44.816] [notice ] [aavm       ] [ 3840: 8224] Submitting IdpNewVps task;14
[2021-11-16 20:33:44.816] [notice ] [aavm       ] [ 3840: 1368] IdpVpsUpdate: reloaded from 21111610 to 21111614.;14
[2021-11-16 20:33:44.817] [info   ] [aavm       ] [ 3840: 5968] - ReloadMainEngineHandle;14
[2021-11-16 20:33:44.817] [info   ] [aavm       ] [ 3840: 5968] - avldrCreateHandle OK;14
[2021-11-16 20:33:44.837] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule OK [21111614 ==> 21111614];14
[2021-11-16 20:33:44.839] [info   ] [aavm       ] [ 3840: 6008] - In AavmGetEngineHandle;14
[2021-11-16 20:33:44.847] [info   ] [aavm       ] [ 3840:13376] - avldrLoadModule [0];14
