log;lesID
07-Nov-2009 20:11:01.863 queries: info: client 7.204.241.161#52985: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2009 20:11:01.893 queries: info: client 3.75.190.181#54339: query: jabber.usma.bluenet IN A +;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: unable to find root NS 'cluster2.hq.simnet' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'A.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'B.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'C.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'D.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'E.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'F.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'G.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'H.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'I.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'J.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'K.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'L.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 20:11:02.326 general: warning: checkhints: extra NS 'M.ROOT-SERVERS.NET' in hints;12
07-Nov-2009 00:00:01.171 queries: info: client 7.204.241.161#62607: query: 253.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2009 00:00:01.203 queries: info: client 10.1.60.253#56513: query: jabber.usma.bluenet IN A +;12
07-Nov-2009 00:00:01.205 queries: info: client 10.1.60.253#60788: query: www.usma.bluenet IN A +;12
07-Nov-2009 00:00:01.225 queries: info: client 10.1.60.253#60078: query: ns1.usma.bluenet IN A +;12
07-Nov-2009 00:00:01.292 queries: info: client 10.1.60.253#60352: query: smtp.usma.bluenet IN A +;12
07-Nov-2011 00:00:06.259 queries: info: client 7.204.241.161#52783: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 00:00:06.289 queries: info: client 10.1.60.203#56313: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 00:00:23.740 queries: info: client 7.204.241.161#54212: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 00:00:23.740 general: warning: *** POKED TIMER ***;12
07-Nov-2011 00:00:23.740 general: warning: *** POKED TIMER ***;12
07-Nov-2011 00:00:23.740 general: info: zone hq.bluenet/IN: refresh: retry limit for master 10.1.10.5#53 exceeded (source 0.0.0.0#0);12
07-Nov-2011 00:00:23.740 general: info: zone hq.bluenet/IN: Transfer started.;12
07-Nov-2011 00:00:23.741 queries: info: client 3.75.190.181#63447: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: unable to find root NS 'cluster2.hq.simnet' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'A.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'B.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'C.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'D.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'E.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'F.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'G.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'H.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'I.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'J.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'K.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'L.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:24.164 general: warning: checkhints: extra NS 'M.ROOT-SERVERS.NET' in hints;12
07-Nov-2011 00:00:28.810 queries: info: client 3.75.190.181#63667: query: en-us.fxfeeds.mozilla.com IN A +;12
07-Nov-2011 00:00:28.812 queries: info: client 3.75.190.181#63127: query: en-us.fxfeeds.mozilla.com IN AAAA +;12
07-Nov-2011 00:00:28.813 queries: info: client 3.75.190.181#54667: query: en-us.fxfeeds.mozilla.com.usma.bluenet IN A +;12
07-Nov-2011 00:00:28.815 queries: info: client 3.75.190.181#50513: query: en-us.fxfeeds.mozilla.com.usma.bluenet IN AAAA +;12
07-Nov-2011 00:00:32.337 queries: info: client 10.1.20.5#57787: query: usma.bluenet IN SOA -;12
