log;lesID
17/06/09 20:11:08 INFO spark.CacheManager: Partition rdd_42_12 not found, computing it;10
17/06/09 20:11:08 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:87504+7292;10
17/06/09 20:11:08 INFO spark.CacheManager: Partition rdd_42_13 not found, computing it;10
17/06/09 20:11:08 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:94796+7292;10
17/06/09 20:11:08 INFO spark.CacheManager: Partition rdd_42_14 not found, computing it;10
17/06/09 20:11:08 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:102088+7292;10
17/06/09 20:11:08 INFO python.PythonRunner: Times: total = 48, boot = 8, init = 35, finish = 5;10
17/06/09 20:11:08 INFO storage.MemoryStore: Block rdd_42_10 stored as bytes in memory (estimated size 948.0 B, free 813.1 KB);10
17/06/09 20:11:08 INFO python.PythonRunner: Times: total = 48, boot = 10, init = 33, finish = 5;10
17/06/09 20:11:08 INFO storage.MemoryStore: Block rdd_42_11 stored as bytes in memory (estimated size 920.0 B, free 814.0 KB);10
17/06/09 20:11:08 INFO python.PythonRunner: Times: total = 51, boot = 3, init = 43, finish = 5;10
17/06/09 20:11:08 INFO storage.MemoryStore: Block rdd_42_13 stored as bytes in memory (estimated size 912.0 B, free 814.9 KB);10
17/06/09 20:11:08 INFO python.PythonRunner: Times: total = 56, boot = 10, init = 40, finish = 6;10
17/06/09 20:11:08 INFO python.PythonRunner: Times: total = 58, boot = 13, init = 40, finish = 5;10
17/06/09 20:11:08 INFO storage.MemoryStore: Block rdd_42_12 stored as bytes in memory (estimated size 852.0 B, free 815.8 KB);10
17/06/09 20:11:08 INFO storage.MemoryStore: Block rdd_42_14 stored as bytes in memory (estimated size 834.0 B, free 816.6 KB);10
17/06/09 20:11:08 INFO python.PythonRunner: Times: total = 42, boot = 17, init = 24, finish = 1;10
17/06/09 20:11:08 INFO executor.Executor: Finished task 10.0 in stage 26.0 (TID 1210). 2703 bytes result sent to driver;10
17/06/09 20:11:08 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1215;10
17/06/09 20:11:08 INFO executor.Executor: Running task 15.0 in stage 26.0 (TID 1215);10
17/06/09 20:11:08 INFO spark.CacheManager: Partition rdd_42_15 not found, computing it;10
