log;lesID
07-Nov-2011 01:57:41.483 queries: info: client 7.204.241.161#62173: query: www1.hq.bluenet.usma.bluenet IN A +;12
07-Nov-2011 01:57:54.181 queries: info: client 10.1.60.253#59576: query: www.usma.bluenet IN A +;12
07-Nov-2011 01:57:54.237 queries: info: client 10.1.60.253#53699: query: ns1.usma.bluenet IN A +;12
07-Nov-2011 01:57:54.268 queries: info: client 10.1.60.253#55537: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 01:57:54.410 queries: info: client 7.204.241.161#52538: query: 253.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 01:57:55.868 queries: info: client 10.1.60.253#54331: query: smtp.usma.bluenet IN A +;12
07-Nov-2011 01:58:14.186 queries: info: client 7.204.241.161#56866: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 01:58:14.234 queries: info: client 10.1.60.203#64453: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 01:58:17.642 queries: info: client 7.204.241.161#57280: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 01:58:17.731 queries: info: client 3.75.190.181#49623: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 01:58:24.388 queries: info: client 10.1.20.5#61197: query: usma.bluenet IN SOA -;12
07-Nov-2011 01:59:14.095 queries: info: client 7.204.241.161#59614: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 01:59:14.174 queries: info: client 10.1.60.203#52710: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 01:59:17.132 queries: info: client 7.204.241.161#65030: query: uscga.bluenet IN MX +;12
07-Nov-2011 01:59:17.351 queries: info: client 7.204.241.161#57699: query: exc2.uscga.bluenet IN A +;12
07-Nov-2011 01:59:24.019 queries: info: client 7.204.241.161#61845: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 01:59:24.073 queries: info: client 3.75.190.181#61410: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 01:59:37.022 queries: info: client 7.204.241.161#55017: query: 10.20.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:00:14.257 queries: info: client 7.204.241.161#50336: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:00:14.301 queries: info: client 10.1.60.203#62589: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:00:23.796 queries: info: client 7.204.241.161#57353: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 02:00:23.831 queries: info: client 3.75.190.181#60795: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:00:24.736 queries: info: client 10.1.20.5#54131: query: usma.bluenet IN SOA -;12
07-Nov-2011 02:01:14.147 queries: info: client 7.204.241.161#56985: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:01:14.193 queries: info: client 10.1.60.203#61614: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:01:23.853 queries: info: client 7.204.241.161#64866: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 02:01:23.879 queries: info: client 3.75.190.181#62511: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:02:14.323 queries: info: client 7.204.241.161#60473: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:02:14.362 queries: info: client 10.1.60.203#55046: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:02:23.700 queries: info: client 7.204.241.161#53052: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 02:02:23.724 queries: info: client 3.75.190.181#54276: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:02:24.883 queries: info: client 10.1.20.5#64749: query: usma.bluenet IN SOA -;12
07-Nov-2011 02:02:30.505 queries: info: client 3.75.190.181#59077: query: en-us.fxfeeds.mozilla.com IN A +;12
07-Nov-2011 02:02:30.506 queries: info: client 3.75.190.181#64308: query: en-us.fxfeeds.mozilla.com IN AAAA +;12
07-Nov-2011 02:02:30.507 queries: info: client 3.75.190.181#59841: query: en-us.fxfeeds.mozilla.com.usma.bluenet IN A +;12
07-Nov-2011 02:02:30.509 queries: info: client 3.75.190.181#58741: query: en-us.fxfeeds.mozilla.com.usma.bluenet IN AAAA +;12
07-Nov-2011 02:02:41.637 queries: info: client 7.204.241.161#52650: query: 20.10.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:02:41.638 queries: info: client 7.204.241.161#60963: query: www1.hq.bluenet IN A +;12
07-Nov-2011 02:02:41.639 queries: info: client 7.204.241.161#51789: query: www1.hq.bluenet IN A +;12
07-Nov-2011 02:02:41.640 queries: info: client 7.204.241.161#57852: query: www1.hq.bluenet.usma.bluenet IN A +;12
07-Nov-2011 02:03:03.407 queries: info: client 7.204.241.161#53895: query: 253.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:03:03.730 queries: info: client 10.1.60.253#65503: query: ns1.usma.bluenet IN A +;12
07-Nov-2011 02:03:03.733 queries: info: client 10.1.60.253#64094: query: smtp.usma.bluenet IN A +;12
07-Nov-2011 02:03:03.824 queries: info: client 10.1.60.253#64491: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:03:03.929 queries: info: client 10.1.60.253#53786: query: www.usma.bluenet IN A +;12
07-Nov-2011 02:03:14.260 queries: info: client 7.204.241.161#56727: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:03:14.308 queries: info: client 10.1.60.203#55559: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:03:23.754 queries: info: client 7.204.241.161#61870: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 02:03:23.787 queries: info: client 3.75.190.181#64071: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:03:25.208 queries: info: client 10.1.20.5#63596: query: usma.bluenet IN SOA -;12
07-Nov-2011 02:04:14.189 queries: info: client 7.204.241.161#63818: query: 203.60.1.10.in-addr.arpa IN PTR +;12
07-Nov-2011 02:04:14.287 queries: info: client 10.1.60.203#54685: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:04:17.223 queries: info: client 7.204.241.161#56532: query: hq.bluenet IN MX +;12
07-Nov-2011 02:04:17.225 queries: info: client 7.204.241.161#51730: query: hq.bluenet IN MX +;12
07-Nov-2011 02:04:23.727 queries: info: client 7.204.241.161#59375: query: 181.190.75.3.in-addr.arpa IN PTR +;12
07-Nov-2011 02:04:23.790 queries: info: client 3.75.190.181#61192: query: jabber.usma.bluenet IN A +;12
07-Nov-2011 02:05:14.166 queries: info: client 7.204.241.161#64490: query: 203.60.1.10.in-addr.arpa IN PTR +;12
