labels,log
14,[2021-11-17 22:00:00.462] [info   ] [av_pp_prov ] [ 3840:16804] AvastIpmUrlApi::collect_simple_params - end
14,[2021-11-17 22:00:00.462] [info   ] [av_pp_prov ] [ 3840:16804] AvastIpmUrlApi::collect_params - end
14,[2021-11-17 22:00:08.962] [info   ] [aavm       ] [ 3840: 7724] - In AavmGetEngineHandle
14,[2021-11-17 22:02:19.791] [info   ] [http_daemon] [ 3840: 5368] HttpServer connection accepted.
14,[2021-11-17 22:10:08.970] [info   ] [aavm       ] [ 3840: 7724] - In AavmGetEngineHandle
14,[2021-11-17 22:12:24.723] [info   ] [http_daemon] [ 3840: 5368] HttpServer connection accepted.
14,[2021-11-17 22:13:25.484] [warning] [av_pp_prov ] [ 3840: 7800] unknown tag to get value for (p_ads)
14,[2021-11-17 22:13:25.484] [warning] [av_pp_prov ] [ 3840: 7800] unknown tag to get value for (p_pmlex)
14,[2021-11-17 22:13:25.484] [warning] [av_pp_prov ] [ 3840: 7800] unknown tag to get value for (p_pmlst)
14,[2021-11-17 22:13:25.485] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_params
14,"[2021-11-17 22:13:25.485] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_simple_params, elm:-1"
14,[2021-11-17 22:13:25.485] [info   ] [av_pp_prov ] [ 3840: 7800] GetCleanupLicenseParams: Unable to get modification time of the license file 'C:\ProgramData\Avast Software\Subscriptions\license.avastgf'!
14,[2021-11-17 22:13:25.527] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_simple_params - end
14,[2021-11-17 22:13:25.527] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_params - end
14,[2021-11-17 22:13:25.537] [info   ] [pp_provider] [ 3840: 7800] pp_provider::OnGetUrlParamsBase64Ex
14,"[2021-11-17 22:13:25.591] [warning] [av_pp_prov ] [ 3840: 7800] app.anen.storage.app.preferred_network_value.get, key network_vulnerabilities (2)"
14,[2021-11-17 22:13:25.612] [warning] [av_pp_prov ] [ 3840: 7800] Exception: Request 'public.AvastSecureLine.GetState' was not processed. Routing parameters:
14,[2021-11-17 22:13:25.644] [info   ] [aavm       ] [ 3840: 7800] - In AavmGetEngineHandle
14,[2021-11-17 22:13:25.655] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::GetLocalPpProviderGpb
14,[2021-11-17 22:13:25.655] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_params
14,"[2021-11-17 22:13:25.655] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_simple_params, elm:229"
14,[2021-11-17 22:13:25.656] [info   ] [av_pp_prov ] [ 3840: 7800] GetCleanupLicenseParams: Unable to get modification time of the license file 'C:\ProgramData\Avast Software\Subscriptions\license.avastgf'!
14,[2021-11-17 22:13:25.693] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_simple_params - end
14,[2021-11-17 22:13:25.693] [info   ] [av_pp_prov ] [ 3840: 7800] AvastIpmUrlApi::collect_params - end
14,[2021-11-17 22:13:25.693] [info   ] [pp_provider] [ 3840: 7800] pp_provider::OnGetUrlParamsBase64Ex - serializing gpb
14,[2021-11-17 22:13:25.695] [info   ] [nl_svc     ] [ 3840: 2984] Reserve action was acknowledged ('toaster_limit').
14,[2021-11-17 22:13:25.696] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value settings
14,[2021-11-17 22:13:35.700] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value settings
14,[2021-11-17 22:18:25.696] [warning] [av_pp_prov ] [ 3840:15680] unknown tag to get value for (p_ads)
14,[2021-11-17 22:18:25.696] [warning] [av_pp_prov ] [ 3840:15680] unknown tag to get value for (p_pmlex)
14,[2021-11-17 22:18:25.696] [warning] [av_pp_prov ] [ 3840:15680] unknown tag to get value for (p_pmlst)
14,[2021-11-17 22:18:25.697] [info   ] [av_pp_prov ] [ 3840:15680] AvastIpmUrlApi::collect_params
14,"[2021-11-17 22:18:25.697] [info   ] [av_pp_prov ] [ 3840:15680] AvastIpmUrlApi::collect_simple_params, elm:-1"
14,[2021-11-17 22:18:25.697] [info   ] [av_pp_prov ] [ 3840:15680] GetCleanupLicenseParams: Unable to get modification time of the license file 'C:\ProgramData\Avast Software\Subscriptions\license.avastgf'!
14,[2021-11-17 22:18:25.711] [info   ] [pp_provider] [ 3840:12680] pp_provider::OnGetUrlParamsBase64Ex
14,[2021-11-17 22:18:25.731] [info   ] [av_pp_prov ] [ 3840:15680] AvastIpmUrlApi::collect_simple_params - end
14,[2021-11-17 22:18:25.731] [info   ] [av_pp_prov ] [ 3840:15680] AvastIpmUrlApi::collect_params - end
14,"[2021-11-17 22:18:25.741] [warning] [av_pp_prov ] [ 3840:12680] app.anen.storage.app.preferred_network_value.get, key network_vulnerabilities (2)"
14,[2021-11-17 22:18:25.752] [warning] [av_pp_prov ] [ 3840:12680] Exception: Request 'public.AvastSecureLine.GetState' was not processed. Routing parameters:
14,[2021-11-17 22:18:25.766] [info   ] [aavm       ] [ 3840:12680] - In AavmGetEngineHandle
14,[2021-11-17 22:18:25.775] [info   ] [av_pp_prov ] [ 3840:12680] AvastIpmUrlApi::GetLocalPpProviderGpb
14,[2021-11-17 22:18:25.775] [info   ] [av_pp_prov ] [ 3840:12680] AvastIpmUrlApi::collect_params
