labels,log
18,05/30-19:09:10.917356  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
18,05/30-19:09:10.918155  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
18,05/30-19:09:28.472094  [**] [1:2012811:2] ET DNS DNS Query to a .tk domain - Likely Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.88.10:1029 -> 4.2.2.3:53
18,05/30-19:09:28.439113  [**] [1:2014665:2] ET CURRENT_EVENTS DRIVEBY Generic - Redirection to Kit - BrowserDetect with var stopit [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 50.28.53.156:80 -> 192.168.88.10:1031
18,05/30-19:09:29.124170  [**] [1:2012810:8] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.88.10:1034 -> 188.72.248.160:80
18,05/30-19:09:29.334642  [**] [1:2014895:5] ET CURRENT_EVENTS RedKit - Landing Page Received - applet and code [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1034
18,05/30-19:09:29.334642  [**] [1:2014894:7] ET CURRENT_EVENTS RedKit - Landing Page Received - applet and 5digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1034
18,05/30-19:09:29.376096  [**] [1:1200:10] ATTACK-RESPONSES Invalid URL [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 69.63.148.95:80 -> 192.168.88.10:1035
18,05/30-19:09:29.416561  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.88.10:1038 -> 239.255.255.250:1900
18,05/30-19:09:30.954809  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:30.954809  [**] [1:2014749:2] ET CURRENT_EVENTS Redkit Java Exploit request to /24842.jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:30.954809  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:30.954809  [**] [1:2014891:2] ET CURRENT_EVENTS RedKit - Java Exploit Requested - 5 digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:31.169279  [**] [1:2017637:1] ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:31.169279  [**] [1:2015695:3] ET CURRENT_EVENTS DRIVEBY Generic - 8Char.JAR Naming Algorithm [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:31.169279  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:31.169279  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:31.169279  [**] [1:2014664:5] ET CURRENT_EVENTS Blackhole - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:31.822216  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:31.822216  [**] [1:2014749:2] ET CURRENT_EVENTS Redkit Java Exploit request to /24842.jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:31.822216  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:31.822216  [**] [1:2014891:2] ET CURRENT_EVENTS RedKit - Java Exploit Requested - 5 digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:32.037674  [**] [1:2017637:1] ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.037674  [**] [1:2015695:3] ET CURRENT_EVENTS DRIVEBY Generic - 8Char.JAR Naming Algorithm [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.037674  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.037674  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.037674  [**] [1:2014664:5] ET CURRENT_EVENTS Blackhole - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.469997  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.88.10:1038 -> 239.255.255.250:1900
18,05/30-19:09:32.339407  [**] [1:2014749:2] ET CURRENT_EVENTS Redkit Java Exploit request to /24842.jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:32.339407  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:32.339407  [**] [1:2014891:2] ET CURRENT_EVENTS RedKit - Java Exploit Requested - 5 digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:32.553118  [**] [1:2017637:1] ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.553118  [**] [1:2015695:3] ET CURRENT_EVENTS DRIVEBY Generic - 8Char.JAR Naming Algorithm [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.553118  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.553118  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.553118  [**] [1:2014664:5] ET CURRENT_EVENTS Blackhole - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:32.795059  [**] [1:2014750:3] ET CURRENT_EVENTS Incognito/RedKit Exploit Kit vulnerable Java payload request to /1digit.html [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:32.795059  [**] [1:2012810:8] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.88.10:1041 -> 188.72.248.160:80
18,05/30-19:09:33.000921  [**] [1:2014519:4] ET INFO EXE - Served Inline HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:33.000921  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:33.000921  [**] [1:2013037:4] ET POLICY Java EXE Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:33.000921  [**] [1:2013036:2] ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.72.248.160:80 -> 192.168.88.10:1041
18,05/30-19:09:35.519483  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.88.10:1038 -> 239.255.255.250:1900
18,05/30-19:09:41.638978  [**] [1:1852:3] WEB-MISC robots.txt access [**] [Classification: Access to a Potentially Vulnerable Web Application] [Priority: 2] {TCP} 192.168.88.10:1042 -> 74.125.127.106:80
18,05/30-19:09:44.126128  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:44.126128  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:44.332911  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:44.332911  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:45.805986  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:45.805986  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:46.012079  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:46.012079  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:46.420198  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:46.420198  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:46.629163  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:47.796770  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:47.796770  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:48.005220  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:48.005220  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:48.372244  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:48.372244  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:48.578067  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:48.578067  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:48.781628  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:48.781628  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:49.430233  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:50.799743  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:50.799743  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:51.202547  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:51.202547  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.167.35:80 -> 192.168.88.10:1043
18,05/30-19:09:51.612641  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:51.612641  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.88.10:1043 -> 178.162.167.35:80
18,05/30-19:09:59.734575  [**] [1:2014264:5] ET POLICY IP Geo Location Request [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.88.10:1045 -> 208.91.207.10:80
18,05/30-19:09:59.902100  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.88.10:1047 -> 66.85.130.234:53
18,05/30-19:09:59.902100  [**] [1:2014703:8] ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Reserved Bit Set - Likely Kazy [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 192.168.88.10:1047 -> 66.85.130.234:53
18,05/30-19:10:00.033690  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.88.10:1049 -> 66.85.130.234:53
