labels,log
16,"leaflet308.casacam.net CNAME . ; Botnet C2 - confidence level: 100% (2022_05_16), see https://threatfox.abuse.ch/ioc/573227/"
16,"nuvez110.camdvr.org CNAME . ; Botnet C2 - confidence level: 100% (2022_05_16), see https://threatfox.abuse.ch/ioc/573226/"
16,"wasabiwallet.online CNAME . ; Botnet C2 - confidence level: 100% (2022_05_13), see https://threatfox.abuse.ch/ioc/556121/"
16,"streelifes.duckdns.org CNAME . ; Botnet C2 - confidence level: 100% (2022_05_12), see https://threatfox.abuse.ch/ioc/553279/"
16,"dcmobina.duckdns.org CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549652/"
16,"vncgoga.duckdns.org CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549653/"
16,"pilossi.top CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549514/"
16,"drefsunl.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549515/"
16,"hulebotetatet.online CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549516/"
16,"zixermacher.surf CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549517/"
16,"tchingyourfocu.top CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549518/"
16,"yolneanz.com CNAME . ; Botnet C2 - confidence level: 75% (2022_05_11), see https://threatfox.abuse.ch/ioc/549509/"
16,"basicath.ga CNAME . ; Botnet C2 - confidence level: 100% (2022_05_11), see https://threatfox.abuse.ch/ioc/549507/"
16,"us189-hpgsgae5dva9fzch.z01.azurefd.net CNAME . ; Botnet C2 - confidence level: 75% (2022_05_10), see https://threatfox.abuse.ch/ioc/549372/"
16,"managmentoria.com CNAME . ; Botnet C2 - confidence level: 75% (2022_05_10), see https://threatfox.abuse.ch/ioc/549346/"
16,"zzzsleepisnicezzz.art CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549318/"
16,"iwishiwashappy.eu CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549319/"
16,"uiasuibasdbui.art CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549320/"
16,"dota.zzzsleepisnicezzz.art CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549315/"
16,"dota.iwishiwashappy.eu CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549316/"
16,"dota.uiasuibasdbui.art CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549317/"
16,"nishabii.live CNAME . ; Botnet C2 - confidence level: 100% (2022_05_10), see https://threatfox.abuse.ch/ioc/549306/"
