labels,log
14,[2021-11-16 20:33:43.411] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value SetupIniBackup
14,[2021-11-16 20:33:43.413] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value EmLastAvs
14,[2021-11-16 20:33:43.413] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value EmLastChromeBR
14,[2021-11-16 20:33:43.952] [info   ] [aavm       ] [ 3840: 5968] - ReloadMainEngineHandle
14,[2021-11-16 20:33:43.952] [info   ] [aavm       ] [ 3840: 5968] - avldrCreateHandle OK
14,[2021-11-16 20:33:44.181] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule OK [21111610 ==> 21111614]
14,"[2021-11-16 20:33:44.181] [info   ] [aavm       ] [ 3840: 5968] - avldrDuplicateHandle [00000277ABFD98D0 (1f7/0), 0]"
14,[2021-11-16 20:33:44.182] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0]
14,[2021-11-16 20:33:44.332] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614)
14,[2021-11-16 20:33:44.332] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0]
14,[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614)
14,"[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avldrDuplicateHandle [00000277ABFD87C0 (1f7/0), 0]"
14,[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0]
14,[2021-11-16 20:33:44.476] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614)
14,"[2021-11-16 20:33:44.477] [info   ] [aavm       ] [ 3840: 5968] - avldrDuplicateHandle [00000277BD09CD40 (1f7/0), 0]"
14,[2021-11-16 20:33:44.477] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule [0]
14,[2021-11-16 20:33:44.477] [info   ] [aavm       ] [ 3840: 5968] - avworkInitialize [0] (VPS: 21111614)
14,"[2021-11-16 20:33:44.786] [info   ] [aavm       ] [ 3840: 7336] - avldrDuplicateHandle [00000277C0E2BDE0 (1f7/0), 0]"
14,[2021-11-16 20:33:44.786] [info   ] [aavm       ] [ 3840: 7336] - avldrLoadModule [0]
14,[2021-11-16 20:33:44.787] [info   ] [aavm       ] [ 3840: 7336] - avworkInitialize [0] (VPS: 21111614)
14,[2021-11-16 20:33:44.816] [notice ] [aavm       ] [ 3840: 8224] Submitting IdpNewVps task
14,[2021-11-16 20:33:44.816] [notice ] [aavm       ] [ 3840: 1368] IdpVpsUpdate: reloaded from 21111610 to 21111614.
14,[2021-11-16 20:33:44.817] [info   ] [aavm       ] [ 3840: 5968] - ReloadMainEngineHandle
14,[2021-11-16 20:33:44.817] [info   ] [aavm       ] [ 3840: 5968] - avldrCreateHandle OK
14,[2021-11-16 20:33:44.837] [info   ] [aavm       ] [ 3840: 5968] - avldrLoadModule OK [21111614 ==> 21111614]
14,[2021-11-16 20:33:44.839] [info   ] [aavm       ] [ 3840: 6008] - In AavmGetEngineHandle
14,[2021-11-16 20:33:44.847] [info   ] [aavm       ] [ 3840:13376] - avldrLoadModule [0]
14,[2021-11-16 20:33:44.850] [info   ] [aavm       ] [ 3840:13376] - avworkInitialize [0] (VPS: 21111614)
14,[2021-11-16 20:33:45.157] [info   ] [aavm       ] [ 3840: 7152] - In AavmGetEngineHandle
14,[2021-11-16 20:33:45.179] [notice ] [aavm       ] [ 3840: 7316] Submitting IdpNewVps task
14,[2021-11-16 20:33:45.179] [notice ] [aavm       ] [ 3840:15292] IdpVpsUpdate: skipped.
14,"[2021-11-16 20:33:45.260] [info   ] [pp_provider] [ 3840: 7316] OnUpdateProductsList, products:"
14,"[2021-11-16 20:33:48.367] [info   ] [pp_provider] [ 3840: 7316] OnUpdateProductsList, products:"
14,[2021-11-16 20:33:48.427] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value SetupIniBackup
14,[2021-11-16 20:33:48.427] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value EmLastAvs
14,[2021-11-16 20:33:48.427] [error  ] [reg_access ] [ 3840: 4612] unsupported registry value type 3 for value EmLastChromeBR
14,[2021-11-16 20:33:48.599] [info   ] [serv       ] [ 3840: 7836] The virus definitions have been automatically updated to version 211116-14
14,[2021-11-16 20:33:49.843] [info   ] [aavm       ] [ 3840: 6008] RestartArPot begin
14,[2021-11-16 20:33:49.843] [info   ] [aavm       ] [ 3840: 6008] StopArPot begin
14,[2021-11-16 20:33:49.843] [info   ] [aavm       ] [ 3840: 6008] Stopping arpot
14,[2021-11-16 20:33:49.951] [info   ] [aavm       ] [ 3840: 6008] StopArPot end
14,[2021-11-16 20:33:49.952] [info   ] [aavm       ] [ 3840: 6008] Loading engine for arpot
