labels,log
16,"baeswea.com CNAME . ; Botnet C2 - confidence level: 75% (2021_12_02), see https://threatfox.abuse.ch/ioc/257328/"
16,"normyils.com CNAME . ; Botnet C2 - confidence level: 75% (2021_12_02), see https://threatfox.abuse.ch/ioc/257327/"
16,"xantummassacre.golf CNAME . ; Botnet C2 - confidence level: 75% (2021_12_01), see https://threatfox.abuse.ch/ioc/256874/"
16,"mikugivetonik.top CNAME . ; Botnet C2 - confidence level: 75% (2021_12_01), see https://threatfox.abuse.ch/ioc/256873/"
16,"desantogambito.agency CNAME . ; Botnet C2 - confidence level: 75% (2021_12_01), see https://threatfox.abuse.ch/ioc/256872/"
16,"bvolebukoneh.site CNAME . ; Botnet C2 - confidence level: 100% (2021_11_30), see https://threatfox.abuse.ch/ioc/256448/"
16,"karfaganda.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_30), see https://threatfox.abuse.ch/ioc/256449/"
16,"dolebukoneh.site CNAME . ; Botnet C2 - confidence level: 100% (2021_11_30), see https://threatfox.abuse.ch/ioc/256450/"
16,"eolebukoneh.site CNAME . ; Botnet C2 - confidence level: 100% (2021_11_30), see https://threatfox.abuse.ch/ioc/256451/"
16,"mchinamoz.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_30), see https://threatfox.abuse.ch/ioc/256298/"
16,"placingapie.ink CNAME . ; Botnet C2 - confidence level: 75% (2021_11_29), see https://threatfox.abuse.ch/ioc/256273/"
16,"quadoil.ru CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256140/"
16,"lakeflex.ru CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256141/"
16,"bubushkalioua.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256132/"
16,"dumuilistrati.at CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256133/"
16,"file-coin-host-12.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256134/"
16,"fufuiloirtu.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256135/"
16,"host-data-coin-11.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256136/"
16,"novohudosovu.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256137/"
16,"srtuiyhuali.at CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256138/"
16,"verboliatsiaeeees.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256139/"
16,"amogohuigotuli.at CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256130/"
16,"brutuilionust.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_29), see https://threatfox.abuse.ch/ioc/256131/"
16,"debiazzela.xyz CNAME . ; Botnet C2 - confidence level: 100% (2021_11_27), see https://threatfox.abuse.ch/ioc/255197/"
16,"jaromawanave.xyz CNAME . ; Botnet C2 - confidence level: 100% (2021_11_27), see https://threatfox.abuse.ch/ioc/255195/"
16,"ccf9ba3695b15b4f0787e6290e0f63allcomejroo839jxi13.xyz CNAME . ; Botnet C2 - confidence level: 100% (2021_11_26), see https://threatfox.abuse.ch/ioc/254994/"
16,"hsuahiysautcr.xyz CNAME . ; Botnet C2 - confidence level: 100% (2021_11_26), see https://threatfox.abuse.ch/ioc/254875/"
16,"kasisausnasaysar.xyz CNAME . ; Botnet C2 - confidence level: 100% (2021_11_26), see https://threatfox.abuse.ch/ioc/254876/"
16,"soderunovos.website CNAME . ; Botnet C2 - confidence level: 100% (2021_11_23), see https://threatfox.abuse.ch/ioc/253669/"
16,"volebukoneh.site CNAME . ; Botnet C2 - confidence level: 100% (2021_11_22), see https://threatfox.abuse.ch/ioc/252070/"
16,"golebukoneh.site CNAME . ; Botnet C2 - confidence level: 100% (2021_11_22), see https://threatfox.abuse.ch/ioc/252071/"
16,"avolebukoneh.website CNAME . ; Botnet C2 - confidence level: 100% (2021_11_22), see https://threatfox.abuse.ch/ioc/252069/"
16,"technoshoper.com CNAME . ; Botnet C2 - confidence level: 100% (2021_11_22), see https://threatfox.abuse.ch/ioc/252068/"
16,"viehostra.xyz CNAME . ; Botnet C2 - confidence level: 100% (2021_11_21), see https://threatfox.abuse.ch/ioc/251728/"
16,"solidez.top CNAME . ; Botnet C2 - confidence level: 100% (2021_11_19), see https://threatfox.abuse.ch/ioc/250951/"
16,"mod.solidez.top CNAME . ; Botnet C2 - confidence level: 100% (2021_11_19), see https://threatfox.abuse.ch/ioc/250952/"
16,"sauceson.ink CNAME . ; Botnet C2 - confidence level: 75% (2021_11_18), see https://threatfox.abuse.ch/ioc/250770/"
16,"aucespoo.ink CNAME . ; Botnet C2 - confidence level: 75% (2021_11_17), see https://threatfox.abuse.ch/ioc/250566/"
16,"cehuciwadi.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_08), see https://threatfox.abuse.ch/ioc/548949/"
16,"gemimako.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_08), see https://threatfox.abuse.ch/ioc/548950/"
16,"kizudih.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_08), see https://threatfox.abuse.ch/ioc/548947/"
16,"ochakovski.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_08), see https://threatfox.abuse.ch/ioc/548944/"
16,"bellochao.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_08), see https://threatfox.abuse.ch/ioc/548945/"
16,"xemigefav.com CNAME . ; Botnet C2 - confidence level: 100% (2022_05_08), see https://threatfox.abuse.ch/ioc/548946/"
16,"festworfs.site CNAME . ; Botnet C2 - confidence level: 100% (2022_05_07), see https://threatfox.abuse.ch/ioc/548666/"
