labels,log
18,05/03-06:20:11.597937  [**] [1:2014609:1] ET CURRENT_EVENTS Incognito Exploit Kit Java request to images.php?t= [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.58.10:1044 -> 94.75.213.211:80
18,05/03-06:20:11.732758  [**] [1:2017637:1] ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:11.732758  [**] [1:2015695:3] ET CURRENT_EVENTS DRIVEBY Generic - 8Char.JAR Naming Algorithm [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:11.732758  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:11.732758  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:11.732758  [**] [1:2014664:5] ET CURRENT_EVENTS Blackhole - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:12.010569  [**] [1:2014609:1] ET CURRENT_EVENTS Incognito Exploit Kit Java request to images.php?t= [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.58.10:1044 -> 94.75.213.211:80
18,05/03-06:20:12.145747  [**] [1:2017637:1] ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:12.145747  [**] [1:2015695:3] ET CURRENT_EVENTS DRIVEBY Generic - 8Char.JAR Naming Algorithm [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:12.145747  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
18,05/03-06:20:12.145747  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.211:80 -> 192.168.58.10:1044
